,,,Mg/Ca,StDev,,RelStDev
20681,13086,8227,0.029929,0.004092,13086,0.136723579137292
20744,13165,8224,0.037902,0.005787,13165,0.152683235713155
20807,13244,8222,0.030995,0.00723,13244,0.233263429585417
20870,13323,8219,0.036047,0.009539,13323,0.264626737315172
20934,13402,8217,0.032217,0.010424,13402,0.323555886643697
20997,13481,8215,0.037919,0.006843,13481,0.180463619821198
21069,13552,8212,0.043529,0.004249,13552,0.0976130855291874
21140,13622,8210,0.043136,0.00468,13622,0.108494065281899
21212,13693,8208,0.058177,0.005204,13693,0.0894511576739949
21283,13763,8206,0.05257,0.008959,13763,0.170420391858474
21355,13834,8204,0.034709,0.005567,13834,0.160390676769714
21426,13904,8202,0.044347,0.005861,13904,0.132162265767696
21498,13975,8199,0.030174,0.008917,13975,0.295519321269967
21540,14072,8196,0.039617,0.006668,14072,0.168311583411162
21583,14169,8193,0.041177,0.007064,14169,0.171552080044685
21625,14267,8190,0.042889,0.00941,14267,0.219403576674672
21667,14364,8187,0.039674,0.00847,14364,0.213489943035741
21710,14461,8184,0.034635,0.006388,14461,0.184437707521293
21752,14558,8181,0.038764,0.008275,14558,0.213471261995666
21794,14655,8178,0.045087,0.003853,14655,0.0854570053452215
21837,14753,8175,0.040381,0.007254,14753,0.179638939105025
21879,14850,8172,0.0364,0.010197,14850,0.280137362637363
21921,14947,8169,0.033028,0.006767,14947,0.20488676274676
21964,15044,8166,0.036129,0.005804,15044,0.160646572005868
22006,15141,8163,0.038909,0.009596,15141,0.24662674445501
22048,15239,8160,0.038581,0.011469,15239,0.29727067727638
22091,15336,8157,0.035214,0.011896,15336,0.337820185153632
22133,15433,8153,0.040682,0.010918,15433,0.268374219556561
22176,15532,8150,0.032785,0.00809,15532,0.246759188653348
22219,15631,8147,0.034516,0.005792,15631,0.167806234789663
22263,15731,8144,0.036613,0.012775,15731,0.348919782590883
22306,15830,8141,0.035477,0.006137,15830,0.172985314429067
22349,15929,8138,0.035323,0.006887,15929,0.194972114486312
22392,16028,8135,0.037206,0.007123,16028,0.191447615975918
