y,x,z,mg_ca,st_dev,part,sample_mode,dist
279,-9978,11022,0.691803,0.070919,A,map,NA
232,-9915,11019,0.31177,0.029996,A,map,NA
359,-9967,11023,0.526493,0.027486,A,map,NA
312,-9904,11020,0.412622,0.041713,A,map,NA
264,-9841,11017,0.273862,0.006533,A,map,NA
439,-9956,11024,0.376501,0.036733,A,map,NA
391,-9893,11021,0.367643,0.02263,A,map,NA
344,-9830,11018,0.354868,0.00997,A,map,NA
296,-9767,11015,0.254035,0.036405,A,map,NA
518,-9945,11025,0.385721,0.024751,A,map,NA
471,-9882,11022,0.347272,0.029783,A,map,NA
423,-9819,11019,0.330131,0.030122,A,map,NA
376,-9756,11016,0.295884,0.03075,A,map,NA
328,-9692,11012,0.278836,0.030088,A,map,NA
598,-9934,11026,0.327812,0.019361,A,map,NA
551,-9871,11023,0.284293,0.030621,A,map,NA
503,-9808,11020,0.297371,0.013498,A,map,NA
455,-9744,11017,0.293748,0.01414,A,map,NA
408,-9681,11013,0.319012,0.016141,A,map,NA
360,-9618,11010,0.271668,0.019519,A,map,NA
678,-9923,11027,0.527677,0.041194,A,map,NA
630,-9860,11024,0.333802,0.032487,A,map,NA
583,-9797,11021,0.266502,0.014216,A,map,NA
535,-9733,11018,0.303532,0.022995,A,map,NA
488,-9670,11014,0.280153,0.023189,A,map,NA
440,-9607,11011,0.290655,0.019187,A,map,NA
392,-9544,11008,0.264003,0.030297,A,map,NA
757,-9912,11028,0.371225,0.029826,A,map,NA
710,-9849,11025,0.392745,0.023824,A,map,NA
662,-9785,11022,0.301052,0.01748,A,map,NA
615,-9722,11019,0.28378,0.024308,A,map,NA
567,-9659,11016,0.289681,0.024237,A,map,NA
520,-9596,11012,0.29154,0.040375,A,map,NA
472,-9533,11009,0.285842,0.010853,A,map,NA
424,-9469,11006,0.269429,0.014531,A,map,NA
833,-9878,11028,0.37906,0.021654,A,map,NA
786,-9817,11025,0.318229,0.037031,A,map,NA
739,-9756,11022,0.31769,0.018088,A,map,NA
692,-9696,11019,0.284686,0.013836,A,map,NA
645,-9635,11016,0.316073,0.01923,A,map,NA
598,-9574,11013,0.29511,0.017386,A,map,NA
550,-9514,11010,0.309198,0.020241,A,map,NA
503,-9453,11007,0.286714,0.024895,A,map,NA
456,-9393,11004,0.274248,0.036147,A,map,NA
905,-9838,11028,0.390046,0.020597,A,map,NA
855,-9775,11025,0.28393,0.029514,A,map,NA
805,-9711,11022,0.284524,0.027606,A,map,NA
754,-9648,11018,0.284305,0.015951,A,map,NA
704,-9585,11015,0.264426,0.010278,A,map,NA
654,-9521,11012,0.306474,0.013577,A,map,NA
603,-9458,11009,0.279652,0.006104,A,map,NA
553,-9395,11006,0.296629,0.020103,A,map,NA
503,-9332,11003,0.276859,0.015404,A,map,NA
982,-9804,11028,0.388411,0.035785,A,map,NA
