y,x,z,mg_ca,st_dev,sample_mode,dist
9841,34447,7535,0.260587,0.041632,map,NA
9753,34500,7534,0.305278,0.060495,map,NA
9664,34554,7532,0.262409,0.049929,map,NA
9575,34608,7530,0.285227,0.043288,map,NA
9487,34661,7528,0.290301,0.029004,map,NA
9398,34715,7526,0.264635,0.020648,map,NA
9309,34768,7525,0.227026,0.031173,map,NA
9220,34822,7523,0.224933,0.022074,map,NA
9132,34876,7521,0.19911,0.023456,map,NA
8688,35144,7512,0.248826,0.035558,map,NA
8600,35197,7510,0.274205,0.069163,map,NA
8511,35251,7508,0.232866,0.019074,map,NA
8422,35327,7506,0.246028,0.0293,map,NA
8333,35402,7503,0.303835,0.031367,map,NA
8244,35478,7501,0.335128,0.06116,map,NA
8155,35554,7498,0.508825,0.091703,map,NA
8060,35508,7500,0.392909,0.069158,map,NA
7966,35462,7501,0.6427,0.077637,map,NA
7872,35416,7502,0.492904,0.052265,map,NA
7777,35370,7504,0.297182,0.034112,map,NA
7678,35325,7505,0.281591,0.045232,map,NA
7580,35280,7507,0.334446,0.044859,map,NA
7481,35235,7508,0.258062,0.047554,map,NA
7531,35137,7511,0.292235,0.023977,map,NA
7580,35039,7514,0.295051,0.030268,map,NA
7630,34941,7517,0.329577,0.036735,map,NA
7679,34843,7521,0.32816,0.065367,map,NA
7729,34744,7524,0.325514,0.033455,map,NA
7779,34646,7527,0.319601,0.030655,map,NA
7828,34548,7530,0.346335,0.021458,map,NA
7878,34450,7533,0.283383,0.028029,map,NA
7927,34352,7536,0.287149,0.051029,map,NA
7977,34254,7540,0.31728,0.057323,map,NA
8027,34164,7543,0.289536,0.023783,map,NA
8077,34073,7545,0.28559,0.022755,map,NA
8127,33983,7548,0.281694,0.02878,map,NA
8177,33892,7551,0.293712,0.018751,map,NA
8227,33802,7554,0.303566,0.041691,map,NA
8277,33712,7557,0.25728,0.018754,map,NA
8327,33621,7560,0.283845,0.047088,map,NA
8377,33531,7563,0.299802,0.036958,map,NA
8427,33440,7566,0.277163,0.032284,map,NA
8477,33350,7569,0.301755,0.035388,map,NA
8559,33293,7571,0.278724,0.015855,map,NA
8642,33236,7573,0.26298,0.035582,map,NA
8724,33180,7575,0.299515,0.044858,map,NA
8807,33123,7576,0.32906,0.027979,map,NA
8889,33066,7578,0.452506,0.051425,map,NA
8972,33009,7580,0.428259,0.021015,map,NA
9054,32953,7582,0.439347,0.029462,map,NA
9137,32896,7584,0.391948,0.071119,map,NA
9219,32839,7586,0.339687,0.017765,map,NA
9318,32804,7587,0.423408,0.032269,map,NA
9416,32770,7588,0.401248,0.029246,map,NA
9515,32735,7590,0.403269,0.031155,map,NA
9613,32700,7591,0.41089,0.023736,map,NA
9712,32665,7592,0.443051,0.039609,map,NA
9811,32631,7593,0.432416,0.041498,map,NA
9909,32596,7594,0.473745,0.068068,map,NA
10008,32561,7596,0.488168,0.038619,map,NA
10106,32527,7597,0.536993,0.04358,map,NA
10205,32492,7598,0.635266,0.107767,map,NA
10300,32451,7599,0.422246,0.080176,map,NA
10395,32411,7601,0.56231,0.284945,map,NA
10490,32370,7602,0.059335,0.02585,map,NA
10585,32329,7604,0.302413,0.162187,map,NA
10680,32289,7605,0.051488,0.022632,map,NA
10775,32248,7606,0.17226,0.134624,map,NA
10870,32207,7608,0.0343,0.007954,map,NA
10965,32167,7609,0.063331,0.017383,map,NA
11060,32126,7611,0.057643,0.023907,map,NA
11155,32085,7612,0.039893,0.007863,map,NA
11250,32045,7613,0.051259,0.014902,map,NA
11345,32004,7615,0.03961,0.012272,map,NA
11440,31963,7616,0.034531,0.006202,map,NA
11535,31923,7617,0.037637,0.00919,map,NA
11630,31882,7619,0.041028,0.012754,map,NA
11723,31832,7621,0.034219,0.004513,map,NA
11815,31782,7622,0.03214,0.008498,map,NA
11908,31732,7624,0.037467,0.010456,map,NA
12001,31683,7626,0.033067,0.009271,map,NA
12093,31633,7627,0.052371,0.019422,map,NA
12186,31583,7629,0.041103,0.009541,map,NA
12279,31533,7631,0.053703,0.006831,map,NA
12371,31483,7632,0.056808,0.024291,map,NA
12464,31433,7634,0.059926,0.03779,map,NA
12556,31383,7636,0.055985,0.021628,map,NA
12649,31334,7637,0.060726,0.033561,map,NA
12742,31284,7639,0.069441,0.024653,map,NA
