y,x,z,mg_ca,st_dev,dist,sample_mode
7532,-1896,8175,0.393468,0.010089,NA,map
7567,-1796,8174,0.410387,0.021124,NA,map
7584,-1688,8174,0.387165,0.026825,NA,map
7600,-1579,8174,0.411994,0.014402,NA,map
7617,-1471,8174,0.396447,0.023349,NA,map
7634,-1363,8174,0.400628,0.028782,NA,map
7650,-1254,8174,0.425513,0.040236,NA,map
7667,-1146,8174,0.442751,0.025146,NA,map
7713,-1051,8173,0.423168,0.025973,NA,map
7759,-957,8172,0.41997,0.051501,NA,map
7804,-862,8171,0.398589,0.048178,NA,map
7850,-767,8171,0.392974,0.009147,NA,map
7896,-673,8170,0.407233,0.026905,NA,map
7942,-578,8169,0.433064,0.022756,NA,map
7992,-478,8168,0.417641,0.032253,NA,map
8042,-377,8167,0.448064,0.047823,NA,map
8092,-276,8166,0.490287,0.030324,NA,map
8142,-176,8165,0.514803,0.045801,NA,map
8216,-100,8163,0.500766,0.016023,NA,map
8290,-23,8162,0.460511,0.032208,NA,map
8364,53,8160,0.491518,0.020339,NA,map
8437,130,8158,0.519718,0.02773,NA,map
8511,206,8157,0.530158,0.035728,NA,map
8585,283,8155,0.527752,0.030926,NA,map
8659,359,8153,0.534129,0.073174,NA,map
8742,432,8151,0.533216,0.034484,NA,map
8824,505,8149,0.650613,0.062322,NA,map
8907,578,8147,0.672752,0.032015,NA,map
8989,650,8146,0.503549,0.106571,NA,map
9072,723,8144,0.260351,0.035693,NA,map
9154,796,8142,0.205134,0.014931,NA,map
9237,869,8140,0.075688,0.016642,NA,map
9319,942,8138,0.077104,0.024334,NA,map
9392,1021,8136,0.04944,0.007997,NA,map
9465,1100,8135,0.054557,0.00859,NA,map
9538,1180,8133,0.057137,0.004513,NA,map
9611,1259,8131,0.050244,0.007857,NA,map
9684,1338,8130,0.046815,0.00716,NA,map
9758,1418,8128,0.046946,0.011793,NA,map
9831,1497,8127,0.055609,0.021701,NA,map
9904,1576,8125,0.064443,0.016288,NA,map
9977,1655,8123,0.046057,0.005399,NA,map
